Sr,Title,Name as per Document (e.g. Leaving Certificate),Birth Date,Student Status,Application No.,Institute,Course,Program,Admission Quota,Student Phone 1,Student Phone 2,Whatsapp No.,Email,Email Alternate,Emergency Contact No.,Father Mobile No.,Mother Mobile No.,Guardian Mobile No.,Aadhaar Card No.
200,Mrs,Nehmat Kara,03-10-2007,Duplicate,25PG334668,Parul Institute of Engineering & Technology (First Shift),Online MBA July - Master of Business Administration,PU-CCEOL - Master - MBA - Online,General - Installment,8232799172,9007029275,8232799172,anvi69@hotmail.com,shereoorja@bhatia-iyer.com,9781838837,7915295922,9152392946,8398906034,3.63407E+11
201,Mr,Riya Lanka,21-03-1981,Provisionally Admitted,25UG940599,Parul Institute of Engineering & Technology (MBA),MTech - Master of Technology,PIET-1 - MTech - PG-CE,VACANT QUOTA,5096340344,6104028740,5096340344,ramaswamyraghav@yahoo.com,dhillonojas@gmail.com,950427141,9198658857,1656464133,3179401252,1.23831E+11
202,Ms,Suhana Sheth,27-12-1996,Duplicate,25UG211997,Parul Institute of Management & Research (First Shift),MBA - Master of Business Administration,PIET-1 - MTech - PG-CE,General - Lumpsum,4940067464,270301478,4940067464,mehulsanghvi@dara.com,choprasamar@hans.com,7747395448,3851318856,3920068818,5806929635,9.59195E+11
203,Dr,Nishith Sangha,30-07-2005,Duplicate,25PG722275,Parul Institute of Engineering & Technology (First Shift),MTech - Master of Technology,PIET-1 - MTech - PG-CE,VACANT QUOTA,1088879594,1042718896,1088879594,indrans83@ahluwalia-ghose.com,samarraj@bobal.com,2068517252,6497712180,9950859473,8942593907,6.5191E+11
204,Miss,Kashvi Bhargava,11-11-1980,Provisionally Admitted,25PG769606,Parul Institute of Engineering & Technology (First Shift),Online MBA July - Master of Business Administration,PIET-MBA - MBA - FIRST YEAR,General - Installment,8106938985,4062528850,8106938985,hthaker@yahoo.com,mmallick@yahoo.com,9626999156,3216329353,192005000,4936587252,5.35616E+11
205,Mr,Oorja Bajaj,19-04-1997,Duplicate,25PG403666,Parul Institute of Management & Research (First Shift),One Year PG Diploma - One Year Post Graduate Diploma,PIET-MBA - MBA - FIRST YEAR,General - Lumpsum,2029769577,1321608549,2029769577,nitarakaran@ranganathan.com,mahalkashvi@iyer-choudhry.com,8485346774,8810616801,7656642338,7492264012,8.96874E+11
206,Mr,Zoya Sangha,21-07-1983,Duplicate,25PG179699,Centre for Distance and Online Education,Online MBA July - Master of Business Administration,PU-CCEOL - Master - MBA - Online,VACANT QUOTA,1557291240,6051935238,1557291240,ssoni@vaidya-yogi.info,diya30@chadha.net,1770869810,8180062755,7677986440,5001283086,9.50607E+11
207,Ms,Kashvi Bhandari,14-02-1983,Duplicate,25PG309589,Centre for Distance and Online Education,One Year PG Diploma - One Year Post Graduate Diploma,PU-CDOE - One Year PG Diploma - IRPM-Online,General - Installment,2136265563,6482965286,2136265563,gadetanya@yahoo.com,amirarajan@yahoo.com,9100955136,5370274017,7571383407,3675195405,5.61739E+11
208,Dr,Tejas Kapoor,19-12-1969,Duplicate,25PG903274,Centre for Distance and Online Education,Online MBA July - Master of Business Administration,PU-CCEOL - Master - MBA - Online,General - Installment,911503313,5756213880,911503313,aarav19@hotmail.com,shlokdara@wali.com,7431107960,5638298235,3167294254,1074546499,8.67352E+11
209,Mrs,Nitya Sagar,06-11-1988,Provisionally Admitted,25PG768369,Parul Institute of Engineering & Technology (MBA),MTech - Master of Technology,PU-CDOE - One Year PG Diploma - IRPM-Online,General - Lumpsum,5732135488,2172445142,5732135488,ekade@bail.org,tarini93@gmail.com,9347878893,9554984216,9525615531,7751758067,3.15767E+11
210,Miss,Ishita Chaudry,08-01-1988,Duplicate,25PG635075,Centre for Distance and Online Education,One Year PG Diploma - One Year Post Graduate Diploma,PU-CCEOL - Master - MBA - Online,General - Installment,7140633624,4243730945,7140633624,fsrivastava@kuruvilla.info,shamik41@garg.com,97040918,3555414746,7676564786,406217796,1.76942E+11
211,Dr,Kanav Kapur,13-11-1975,Provisionally Admitted,25UG949970,Parul Institute of Management & Research (First Shift),MBA - Master of Business Administration,PIET-1 - MTech - PG-CE,General - Installment,3273662669,6169059882,3273662669,jayeshbakshi@gmail.com,shaanvala@bose-doctor.com,1864178188,8173737219,1677201070,7754599163,8.20999E+11
212,Mr,Darshit Babu,14-09-2000,Provisionally Admitted,25UG286176,Parul Institute of Engineering & Technology (MBA),MBA - Master of Business Administration,PIET-MBA - MBA - FIRST YEAR,General - Lumpsum,7996830845,5813298723,7996830845,jsachdev@hotmail.com,balikimaya@gopal-master.org,3385066984,7293374836,6838407144,5035943224,1.94673E+11
213,Ms,Renee Subramaniam,05-12-1992,Duplicate,25PG820926,Parul Institute of Management & Research (First Shift),Online MBA July - Master of Business Administration,PU-CDOE - One Year PG Diploma - IRPM-Online,VACANT QUOTA,5840577613,7978829554,5840577613,bbehl@hotmail.com,mishti52@lanka.com,8371393366,3304968160,5914852363,9656657715,4.6163E+11
214,Miss,Alia Mann,25-01-1998,Provisionally Admitted,25PG808196,Centre for Distance and Online Education,MBA - Master of Business Administration,PIET-1 - MTech - PG-CE,VACANT QUOTA,5919338826,9553194108,5919338826,rhea41@halder.com,kiara42@goyal-vig.net,9965803069,755537244,2392739203,1422783768,4.81239E+11
215,Miss,Anahita Ramachandran,13-01-1975,Provisionally Admitted,25UG912893,Centre for Distance and Online Education,MTech - Master of Technology,PU-CDOE - One Year PG Diploma - IRPM-Online,General - Lumpsum,9631181322,7413877311,9631181322,indrajit19@hotmail.com,yashvi51@gmail.com,2715038797,8505846745,3853147189,5177466120,2.88881E+11
216,Mrs,Shalv Shah,01-06-1984,Duplicate,25UG543534,Parul Institute of Management & Research (First Shift),Online MBA July - Master of Business Administration,PU-CDOE - One Year PG Diploma - IRPM-Online,General - Lumpsum,120910297,8022351542,120910297,jayantkonda@hotmail.com,msaraf@mallick.org,5721936285,7149058920,6769409428,3285010670,8.22918E+11
217,Ms,Shaan Loke,17-06-2006,Duplicate,25PG723596,Centre for Distance and Online Education,MTech - Master of Technology,PU-CCEOL - Master - MBA - Online,VACANT QUOTA,1225132640,5222576700,1225132640,mannat90@rama.com,iravarkey@yahoo.com,6064235746,4353860961,4657362248,9814052236,1.53959E+11
218,Dr,Rohan Bandi,18-05-1991,Provisionally Admitted,25PG805140,Centre for Distance and Online Education,One Year PG Diploma - One Year Post Graduate Diploma,PU-CDOE - One Year PG Diploma - IRPM-Online,General - Installment,697829501,1266865670,697829501,mahalkabir@agarwal.com,kshankar@hotmail.com,4076052436,5342719963,745013216,2044732769,7.52891E+11
219,Ms,Eshani Korpal,22-09-2004,Duplicate,25UG909219,Centre for Distance and Online Education,Online MBA July - Master of Business Administration,PIET-MBA - MBA - FIRST YEAR,General - Installment,7388831878,4006425556,7388831878,pari56@gmail.com,devansamar@hotmail.com,8774012312,2202603863,3589308563,1070004602,8.93524E+11
220,Mrs,Inaaya  Bail,07-06-1978,Provisionally Admitted,25UG312854,Parul Institute of Management & Research (First Shift),MTech - Master of Technology,PIET-1 - MTech - PG-CE,General - Installment,5820255526,6174577843,5820255526,rasha90@zacharia-karpe.biz,bhavin51@gmail.com,3836520174,3437311071,4995653342,5895186460,9.80739E+11
221,Mrs,Tejas Lal,05-06-1982,Provisionally Admitted,25PG913199,Parul Institute of Management & Research (First Shift),Online MBA July - Master of Business Administration,PIET-1 - MTech - PG-CE,General - Installment,4760662028,3592318774,4760662028,qkorpal@chakrabarti.com,pbir@chakraborty.com,3478646596,1466007191,8556122855,3590665708,2.11675E+11
222,Mrs,Miraan Venkatesh,01-04-1980,Provisionally Admitted,25UG747285,Parul Institute of Engineering & Technology (MBA),MTech - Master of Technology,PIET-MBA - MBA - FIRST YEAR,VACANT QUOTA,4215418944,6589149790,4215418944,hatwal@mani-grewal.com,xsanghvi@hotmail.com,72346217,2031015491,9271542766,6642015209,5.81784E+11
223,Ms,Akarsh Bhattacharyya,18-10-1971,Provisionally Admitted,25UG514061,Parul Institute of Management & Research (First Shift),MBA - Master of Business Administration,PIET-1 - MTech - PG-CE,General - Installment,5082526106,1982022443,5082526106,dsunder@gmail.com,shettyarhaan@hotmail.com,3872617091,5760337831,8065991484,8589735962,5.46693E+11
224,Dr,Eshani Issac,27-10-1984,Provisionally Admitted,25UG122911,Parul Institute of Management & Research (First Shift),One Year PG Diploma - One Year Post Graduate Diploma,PU-CCEOL - Master - MBA - Online,General - Lumpsum,7612843689,2048790713,7612843689,divanshamik@bahl.com,hvarma@kibe.com,8542419911,6054287835,9161912209,2148855965,9.49172E+11
225,Dr,Akarsh Sahota,06-07-1987,Provisionally Admitted,25UG274859,Parul Institute of Engineering & Technology (First Shift),MTech - Master of Technology,PIET-1 - MTech - PG-CE,General - Installment,3376117168,8900919987,3376117168,tswaminathan@tank.com,divanhansh@yahoo.com,7832939221,173521440,1211830831,1388835650,6.91886E+11
226,Mr,Zoya Ahluwalia,11-12-1997,Duplicate,25PG790306,Parul Institute of Engineering & Technology (First Shift),MTech - Master of Technology,PIET-1 - MTech - PG-CE,General - Installment,9014764513,1454590149,9014764513,fkari@shankar.com,tiya55@varty.info,2948150319,5718290865,9447158597,3594552838,6.14787E+11
227,Ms,Aaina Kamdar,04-05-2003,Provisionally Admitted,25UG121464,Parul Institute of Engineering & Technology (MBA),MTech - Master of Technology,PU-CDOE - One Year PG Diploma - IRPM-Online,General - Installment,2758794825,1590216177,2758794825,rati17@yahoo.com,srinivasankeya@upadhyay.info,8253381739,1307641615,199000204,6548542482,3.28528E+11
228,Mrs,Badal Bassi,10-08-1980,Duplicate,25PG946921,Parul Institute of Engineering & Technology (First Shift),MTech - Master of Technology,PIET-MBA - MBA - FIRST YEAR,General - Installment,2524781704,8826780056,2524781704,tanya15@sem.com,riyasidhu@yahoo.com,6779362945,3202874137,220477175,5983636114,6.72575E+11
229,Dr,Nirvi Salvi,08-07-1996,Duplicate,25PG484225,Centre for Distance and Online Education,MBA - Master of Business Administration,PU-CCEOL - Master - MBA - Online,General - Installment,2690347978,2191983066,2690347978,keerromil@yahoo.com,divit84@andra.com,397848755,5135537660,6934523949,1457826215,9.61112E+11
230,Miss,Yakshit Kadakia,01-04-1972,Duplicate,25UG636772,Parul Institute of Engineering & Technology (First Shift),Online MBA July - Master of Business Administration,PIET-1 - MTech - PG-CE,General - Installment,5170124640,3269077064,5170124640,nyadav@gmail.com,divijhayre@hotmail.com,2333002355,3804126302,477080951,4826661910,9.97832E+11
231,Miss,Nakul Balakrishnan,02-10-1975,Provisionally Admitted,25PG787044,Parul Institute of Engineering & Technology (First Shift),MBA - Master of Business Administration,PU-CDOE - One Year PG Diploma - IRPM-Online,General - Installment,5646688963,3063132217,5646688963,duttzaina@yahoo.com,sumer28@ramachandran.net,4968277760,1088805063,3575199782,8189257831,7.3941E+11
232,Miss,Elakshi Deep,28-06-1978,Provisionally Admitted,25UG791755,Parul Institute of Management & Research (First Shift),MTech - Master of Technology,PU-CCEOL - Master - MBA - Online,General - Installment,7215644330,5239031909,7215644330,gargranbir@ramaswamy.com,cheemaumang@ramachandran.com,6357916382,8861253170,8878024802,905063441,4.70867E+11
233,Ms,Jhanvi Vohra,15-03-1970,Duplicate,25UG861801,Parul Institute of Engineering & Technology (First Shift),Online MBA July - Master of Business Administration,PU-CDOE - One Year PG Diploma - IRPM-Online,VACANT QUOTA,540000815,600226032,540000815,rheagoda@yahoo.com,ptoor@gmail.com,8144948447,8277137192,542398352,1884637073,5.00278E+11
234,Mrs,Aradhya Ram,19-06-1977,Duplicate,25PG320678,Parul Institute of Engineering & Technology (MBA),MTech - Master of Technology,PIET-1 - MTech - PG-CE,VACANT QUOTA,3493192278,5329990303,3493192278,laladhanuk@ramakrishnan.biz,wablebhamini@vig-mandal.com,7832828962,5196965569,1581717457,9764532268,6.64125E+11
235,Mrs,Adah Tak,26-09-1996,Duplicate,25PG890008,Parul Institute of Management & Research (First Shift),MTech - Master of Technology,PIET-1 - MTech - PG-CE,General - Lumpsum,1582604334,8438694493,1582604334,lchar@yahoo.com,skota@yahoo.com,931597857,1810637465,2215286675,8614972350,8.76863E+11
236,Mr,Vidur Khatri,07-12-1990,Duplicate,25PG363649,Parul Institute of Management & Research (First Shift),MBA - Master of Business Administration,PU-CCEOL - Master - MBA - Online,General - Installment,1089150882,6428641633,1089150882,wlanka@konda.com,varugheseishita@issac.com,216778085,5936701569,3888184938,4615039393,5.08393E+11
237,Miss,Priyansh Chandra,20-02-1997,Provisionally Admitted,25UG140610,Parul Institute of Management & Research (First Shift),MTech - Master of Technology,PIET-1 - MTech - PG-CE,VACANT QUOTA,660360288,2736350570,660360288,aniruddhkara@shanker.com,indransvig@gaba.com,4108756435,1357788334,4604817791,609517989,3.59945E+11
238,Mr,Indrans Rajagopal,21-10-1980,Duplicate,25PG541121,Centre for Distance and Online Education,MBA - Master of Business Administration,PIET-1 - MTech - PG-CE,General - Installment,8380822507,2755440336,8380822507,tarini06@chandran-raval.com,fkothari@gmail.com,837717780,9027282227,6971919698,8750941531,9.55111E+11
239,Mr,Alisha Mahajan,14-04-1978,Provisionally Admitted,25PG310506,Centre for Distance and Online Education,Online MBA July - Master of Business Administration,PU-CDOE - One Year PG Diploma - IRPM-Online,General - Installment,2598916281,1620861662,2598916281,azad41@solanki-gade.org,katazain@vala-gala.com,2560533633,9766238466,6347640639,6449707224,7.55442E+11
240,Miss,Umang Acharya,07-11-1982,Duplicate,25UG585775,Parul Institute of Engineering & Technology (First Shift),One Year PG Diploma - One Year Post Graduate Diploma,PU-CDOE - One Year PG Diploma - IRPM-Online,General - Installment,7498019544,12633465,7498019544,ldasgupta@yahoo.com,tiyabhatnagar@hotmail.com,5848930664,6281841375,7382905588,9713973771,9.97354E+11
241,Miss,Faiyaz Dayal,24-03-1999,Duplicate,25PG944342,Parul Institute of Engineering & Technology (MBA),MTech - Master of Technology,PU-CCEOL - Master - MBA - Online,General - Lumpsum,5679336226,3325146570,5679336226,gokul48@lata-sodhi.com,settyshamik@yahoo.com,3349294655,8280657032,9314813821,2272652358,4.74421E+11
242,Dr,Uthkarsh Kothari,03-08-1998,Provisionally Admitted,25PG540429,Centre for Distance and Online Education,One Year PG Diploma - One Year Post Graduate Diploma,PU-CCEOL - Master - MBA - Online,General - Lumpsum,5954901245,3029028941,5954901245,vidurdeep@yahoo.com,yaggarwal@hotmail.com,6793414715,2078824971,864841169,3874199247,2.70573E+11
243,Mrs,Rasha Maharaj,05-11-1994,Duplicate,25PG581324,Parul Institute of Engineering & Technology (MBA),MTech - Master of Technology,PU-CCEOL - Master - MBA - Online,General - Lumpsum,932729228,273860962,932729228,hiran34@hotmail.com,rheakrishnan@gmail.com,2041371858,9036557289,3863957136,8709761990,5.8755E+11
244,Mrs,Yuvaan Bora,15-02-1984,Provisionally Admitted,25PG542130,Parul Institute of Engineering & Technology (First Shift),Online MBA July - Master of Business Administration,PIET-1 - MTech - PG-CE,VACANT QUOTA,5589438478,913676151,5589438478,mahikabehl@jain.com,vritika83@srinivas.biz,541994747,8990256223,1658275422,7861493793,5.62343E+11
245,Ms,Abram Loyal,07-09-1976,Duplicate,25UG770346,Parul Institute of Engineering & Technology (First Shift),MBA - Master of Business Administration,PU-CCEOL - Master - MBA - Online,VACANT QUOTA,1890688372,1052533144,1890688372,indranilsem@gmail.com,iranganathan@gmail.com,2650318855,8691043278,6257727489,1286555243,5.57871E+11
246,Miss,Zoya Kunda,08-11-2003,Provisionally Admitted,25UG556816,Centre for Distance and Online Education,One Year PG Diploma - One Year Post Graduate Diploma,PIET-MBA - MBA - FIRST YEAR,VACANT QUOTA,5805914587,2203662777,5805914587,jdas@din.com,samarthborah@gmail.com,7377479867,1790863059,2175606456,6126718949,8.34565E+11
247,Dr,Urvi Bhagat,31-12-1999,Duplicate,25UG651905,Parul Institute of Engineering & Technology (MBA),One Year PG Diploma - One Year Post Graduate Diploma,PU-CCEOL - Master - MBA - Online,General - Installment,3515130967,8024709658,3515130967,riaanrege@hotmail.com,gadekimaya@yahoo.com,5643391389,1075030816,2452663671,4602252659,6.0074E+11
248,Miss,Shray Shankar,03-01-1975,Provisionally Admitted,25UG707409,Parul Institute of Engineering & Technology (MBA),Online MBA July - Master of Business Administration,PIET-1 - MTech - PG-CE,General - Installment,7973576746,5290663788,7973576746,lagan75@mani-upadhyay.biz,obava@yahoo.com,212021553,7029138509,1951272856,6591298247,5.33047E+11
249,Dr,Onkar Rajagopalan,12-02-1979,Duplicate,25UG528323,Centre for Distance and Online Education,One Year PG Diploma - One Year Post Graduate Diploma,PU-CDOE - One Year PG Diploma - IRPM-Online,VACANT QUOTA,8233811826,2365733399,8233811826,mahalmadhav@gmail.com,ojasraj@hotmail.com,7157655068,7112623611,7184311667,685550265,5.7752E+11
250,Miss,Vritika Seshadri,19-02-1998,Duplicate,25PG435339,Parul Institute of Engineering & Technology (First Shift),Online MBA July - Master of Business Administration,PU-CCEOL - Master - MBA - Online,General - Lumpsum,7564289348,3680652262,7564289348,romil55@gmail.com,kurianmohanlal@yahoo.com,6994193873,102153449,8483969572,3583426413,1.33589E+11
251,Miss,Nakul Gulati,07-03-1998,Provisionally Admitted,25PG927912,Parul Institute of Engineering & Technology (MBA),One Year PG Diploma - One Year Post Graduate Diploma,PU-CCEOL - Master - MBA - Online,VACANT QUOTA,1088258403,5901788756,1088258403,aarnadoctor@shankar.com,jayaramanuthkarsh@gmail.com,4738654272,4690980769,413468023,6924791360,7.14491E+11
252,Mrs,Rasha Manda,14-12-1978,Provisionally Admitted,25PG111281,Parul Institute of Engineering & Technology (First Shift),MBA - Master of Business Administration,PIET-MBA - MBA - FIRST YEAR,VACANT QUOTA,5969801875,3980925988,5969801875,rhea11@gmail.com,priyanshmaster@hayer-grewal.com,498791321,1984354209,3430862432,3245963620,5.67632E+11
253,Ms,Nitya Raman,08-06-1987,Provisionally Admitted,25PG676332,Centre for Distance and Online Education,Online MBA July - Master of Business Administration,PIET-1 - MTech - PG-CE,General - Lumpsum,395691654,5623153965,395691654,dhruv87@hotmail.com,eshanigopal@lad.org,6115505627,9647566319,5387023701,2247878229,3.62959E+11
254,Ms,Ritvik Tella,18-02-2003,Duplicate,25UG726040,Parul Institute of Engineering & Technology (First Shift),MTech - Master of Technology,PU-CDOE - One Year PG Diploma - IRPM-Online,General - Installment,4656163442,7482350475,4656163442,pborde@rajagopalan.com,ayeshaissac@yahoo.com,1133831150,5354367968,7905997114,3364662848,5.1099E+11
255,Mr,Shalv Badami,27-09-1990,Provisionally Admitted,25UG290128,Parul Institute of Engineering & Technology (First Shift),MBA - Master of Business Administration,PU-CDOE - One Year PG Diploma - IRPM-Online,General - Installment,2466771631,6938651178,2466771631,anahisekhon@gmail.com,rattialisha@hotmail.com,2459772792,3619333343,3930367033,5775877107,6.13276E+11
256,Dr,Raghav Zacharia,11-04-1973,Provisionally Admitted,25UG210887,Parul Institute of Engineering & Technology (MBA),MTech - Master of Technology,PIET-MBA - MBA - FIRST YEAR,VACANT QUOTA,7502645866,6897104412,7502645866,asetty@yahoo.com,balakrishnanayesha@yahoo.com,986225103,3768395524,1788979216,6512089477,5.95528E+11
257,Dr,Indranil Soman,24-09-1970,Duplicate,25UG369958,Centre for Distance and Online Education,One Year PG Diploma - One Year Post Graduate Diploma,PIET-MBA - MBA - FIRST YEAR,General - Installment,5730619652,175479339,5730619652,nchatterjee@yahoo.com,qsahni@yahoo.com,7352297024,1153384632,3645562740,5546209434,1.95312E+11
258,Mrs,Chirag Zacharia,13-07-1975,Provisionally Admitted,25PG475719,Parul Institute of Engineering & Technology (First Shift),One Year PG Diploma - One Year Post Graduate Diploma,PU-CDOE - One Year PG Diploma - IRPM-Online,General - Installment,7896620504,8919775905,7896620504,csule@hans.com,blala@hotmail.com,37329640,890528450,9968990423,5917003978,6.78022E+11
259,Ms,Saksham Vyas,26-01-1982,Duplicate,25UG916476,Parul Institute of Management & Research (First Shift),MBA - Master of Business Administration,PU-CDOE - One Year PG Diploma - IRPM-Online,General - Installment,449907725,91005567,449907725,jiya43@tata.com,ahana-51@yahoo.com,5148768667,2577540785,6742182584,4605154083,6.92434E+11
260,Miss,Nitara Sibal,22-06-1996,Duplicate,25UG704513,Parul Institute of Engineering & Technology (First Shift),MTech - Master of Technology,PU-CDOE - One Year PG Diploma - IRPM-Online,VACANT QUOTA,7634173955,7581878565,7634173955,aradhyadua@kant-ghose.com,kratti@yahoo.com,4082570518,743353946,4161515409,6472823880,8.83252E+11
261,Mrs,Shaan Ramanathan,11-08-2003,Duplicate,25PG304050,Parul Institute of Engineering & Technology (First Shift),One Year PG Diploma - One Year Post Graduate Diploma,PIET-MBA - MBA - FIRST YEAR,VACANT QUOTA,8290429575,9325527312,8290429575,ahana-81@srinivas.info,ramancharvi@jani.com,5863598657,4491149796,5020238982,1197563661,6.16602E+11
262,Mrs,Elakshi Raval,16-04-1978,Duplicate,25UG894731,Centre for Distance and Online Education,Online MBA July - Master of Business Administration,PU-CCEOL - Master - MBA - Online,General - Installment,6121592314,237574020,6121592314,khushi21@tailor.com,jmalhotra@warrior-soman.org,7406817765,2473201940,5783507992,1297354401,1.61833E+11
263,Dr,Kaira Loyal,30-12-1987,Duplicate,25UG927048,Parul Institute of Management & Research (First Shift),Online MBA July - Master of Business Administration,PU-CDOE - One Year PG Diploma - IRPM-Online,General - Installment,6393611103,6122089077,6393611103,prerakbhavsar@yahoo.com,bdutta@hotmail.com,1794686005,3279806455,9115320791,8426890377,1.28126E+11
264,Mrs,Elakshi Sachar,14-07-1977,Duplicate,25UG226665,Parul Institute of Management & Research (First Shift),Online MBA July - Master of Business Administration,PIET-1 - MTech - PG-CE,VACANT QUOTA,4294480061,2726299256,4294480061,nishithbhagat@yahoo.com,mishtisachdeva@gmail.com,9108962665,1324636116,9823530303,3055312854,6.97676E+11
265,Ms,Advika Varty,16-07-1976,Duplicate,25UG216254,Parul Institute of Engineering & Technology (MBA),One Year PG Diploma - One Year Post Graduate Diploma,PU-CCEOL - Master - MBA - Online,General - Installment,325349656,737377429,325349656,jayansant@mand.com,misha26@comar-choudhry.net,884602733,1688960239,7767769699,3128254801,5.30062E+11
266,Miss,Kismat Hora,03-11-2007,Provisionally Admitted,25UG607615,Parul Institute of Management & Research (First Shift),Online MBA July - Master of Business Administration,PIET-1 - MTech - PG-CE,VACANT QUOTA,8169305028,8256171477,8169305028,malhotrariya@hotmail.com,chirag58@gmail.com,6727782270,9851225888,6073334666,9643265178,9.51225E+11
267,Mr,Saksham Wason,12-10-1975,Provisionally Admitted,25PG370499,Parul Institute of Engineering & Technology (First Shift),One Year PG Diploma - One Year Post Graduate Diploma,PIET-MBA - MBA - FIRST YEAR,General - Lumpsum,5981222995,4767911570,5981222995,adirachandran@edwin.com,ygala@mand.com,6571323368,8798429380,1999833508,7388270505,9.69586E+11
268,Dr,Navya Soman,20-02-1976,Duplicate,25PG818059,Parul Institute of Engineering & Technology (MBA),MBA - Master of Business Administration,PU-CDOE - One Year PG Diploma - IRPM-Online,VACANT QUOTA,2557957566,6984348817,2557957566,qdada@wali.com,dugarkashvi@hotmail.com,6726298091,5675775817,7659145266,5587860454,1.05454E+11
269,Ms,Divij Sura,11-03-1998,Duplicate,25UG787869,Parul Institute of Engineering & Technology (First Shift),MBA - Master of Business Administration,PIET-MBA - MBA - FIRST YEAR,General - Lumpsum,1235921922,6883876269,1235921922,balanneysa@madan.org,siya67@thakur.info,1929812190,6666635706,6195716380,8546857588,3.09614E+11
270,Dr,Fateh Halder,07-01-1996,Duplicate,25PG761819,Centre for Distance and Online Education,One Year PG Diploma - One Year Post Graduate Diploma,PU-CDOE - One Year PG Diploma - IRPM-Online,VACANT QUOTA,3066083399,3432292488,3066083399,yghose@cherian.com,sachdevsamar@yahoo.com,8240355020,9864422175,5249916372,3038252025,5.82925E+11
271,Miss,Jivika Biswas,03-10-1982,Duplicate,25PG962402,Parul Institute of Engineering & Technology (MBA),One Year PG Diploma - One Year Post Graduate Diploma,PU-CDOE - One Year PG Diploma - IRPM-Online,General - Installment,8600969721,3646460612,8600969721,kabir15@gmail.com,shlok76@guha.com,7642843406,6420062411,2020136579,602957838,3.97295E+11
272,Mr,Hunar Sarraf,31-05-2006,Provisionally Admitted,25UG939302,Parul Institute of Engineering & Technology (MBA),One Year PG Diploma - One Year Post Graduate Diploma,PU-CDOE - One Year PG Diploma - IRPM-Online,General - Lumpsum,7505785948,2358283680,7505785948,reyansh12@hotmail.com,sahilchoudhry@dalia.com,1895898651,6131377801,408241354,4198574565,4.59801E+11
273,Miss,Ela Kaur,24-11-1994,Provisionally Admitted,25UG676733,Parul Institute of Management & Research (First Shift),One Year PG Diploma - One Year Post Graduate Diploma,PIET-MBA - MBA - FIRST YEAR,VACANT QUOTA,4160668451,5371525271,4160668451,adiraborde@uppal-dave.com,charprerak@ramachandran-bahl.info,5529205115,7577607485,2748688541,9855567907,6.64795E+11
274,Ms,Lakshit Sur,02-11-1984,Provisionally Admitted,25PG547570,Centre for Distance and Online Education,MTech - Master of Technology,PU-CCEOL - Master - MBA - Online,General - Lumpsum,6270692094,4476118637,6270692094,laganmahajan@tailor.com,seshadrionkar@gandhi.com,2177552634,3699863008,8855354204,3586268450,2.01374E+11
275,Dr,Vanya Varghese,20-05-1988,Duplicate,25PG738981,Centre for Distance and Online Education,MBA - Master of Business Administration,PU-CCEOL - Master - MBA - Online,General - Installment,463755782,7645940809,463755782,zarasastry@dutt.com,sanghvijhanvi@srivastava.com,9197434115,3608498547,9964837054,9956566829,7.9472E+11
276,Miss,Himmat Rege,07-10-1976,Provisionally Admitted,25PG345979,Parul Institute of Management & Research (First Shift),Online MBA July - Master of Business Administration,PIET-1 - MTech - PG-CE,VACANT QUOTA,8456828410,5478264967,8456828410,lbutala@yahoo.com,tarasamaira@yahoo.com,7119031951,2413920687,8416467191,6987032594,1.61602E+11
277,Ms,Pihu Ghosh,26-10-1984,Provisionally Admitted,25UG353487,Centre for Distance and Online Education,One Year PG Diploma - One Year Post Graduate Diploma,PIET-1 - MTech - PG-CE,VACANT QUOTA,4451710348,2934847572,4451710348,oramanathan@gmail.com,aarushandra@hotmail.com,4165372456,4714771516,7418755746,2260499055,8.80384E+11
278,Miss,Vivaan Bhatnagar,21-09-1988,Provisionally Admitted,25PG615905,Parul Institute of Engineering & Technology (First Shift),MTech - Master of Technology,PIET-1 - MTech - PG-CE,VACANT QUOTA,1020068382,317609771,1020068382,ramanathankhushi@dora-som.info,lrege@yahoo.com,3296707607,7156214165,3186681374,6602454094,4.99643E+11
279,Ms,Neelofar Dasgupta,09-03-2003,Duplicate,25UG851151,Parul Institute of Engineering & Technology (MBA),MBA - Master of Business Administration,PIET-1 - MTech - PG-CE,General - Lumpsum,5637442630,6543582610,5637442630,shamikbal@gmail.com,heerbala@ratti.org,1695587239,3250032530,7511418124,8796770935,5.5031E+11
280,Mrs,Anahita Andra,29-06-1994,Duplicate,25UG411091,Parul Institute of Engineering & Technology (MBA),MBA - Master of Business Administration,PIET-1 - MTech - PG-CE,General - Installment,5154802754,1397490860,5154802754,onkar45@rattan.com,jdhawan@hotmail.com,4668790968,348992118,4993043047,1747918985,2.27749E+11
281,Ms,Arhaan Edwin,01-03-1994,Provisionally Admitted,25UG314038,Parul Institute of Engineering & Technology (First Shift),MBA - Master of Business Administration,PIET-1 - MTech - PG-CE,VACANT QUOTA,9606311735,9275721520,9606311735,miraan73@chaudhry.com,ratichaudhari@krishnan.com,676516622,2718758596,6900486189,2280645840,4.95474E+11
282,Mr,Rhea Vyas,27-06-2007,Provisionally Admitted,25PG490064,Centre for Distance and Online Education,MTech - Master of Technology,PIET-MBA - MBA - FIRST YEAR,General - Installment,888733832,1925029427,888733832,daranehmat@desai.info,anika40@hotmail.com,7562113368,5856251350,1449128888,3223243367,9.58949E+11
